DriverName,LapNum,Timestamp,LapTime,LapTimeMins,S1,S2,S3,S1Mins,S2Mins,S3Mins
yarimalk23,46,1682550069,40582,00:40.582,5581,27302,7699,00:05.581,00:27.302,00:07.699
Ariel,38,1682783999,40583,00:40.583,5456,27293,7834,00:05.456,00:27.293,00:07.834
Yarin,60,1682700450,40583,00:40.583,5506,27328,7749,00:05.506,00:27.328,00:07.749
Yuval Rosen,317,1682776410,40583,00:40.583,5821,26563,8199,00:05.821,00:26.563,00:08.199
SirSiriuSoWhy,33,1682780389,40584,00:40.584,5420,27257,7907,00:05.420,00:27.257,00:07.907
U.V,43,1682618692,40586,00:40.586,5478,27279,7829,00:05.478,00:27.279,00:07.829
Y.Cohen,26,1682539431,40586,00:40.586,5504,27365,7717,00:05.504,00:27.365,00:07.717
Hublot,69,1682791809,40586,00:40.586,5599,27158,7829,00:05.599,00:27.158,00:07.829
SirSiriuSoWhy,42,1682780926,40587,00:40.587,5473,27086,8028,00:05.473,00:27.086,00:08.028
Yuval Rosen,174,1682725758,40588,00:40.588,5511,26770,8307,00:05.511,00:26.770,00:08.307
ShimiC,37,1682692989,40589,00:40.589,5566,27310,7713,00:05.566,00:27.310,00:07.713
yarimalk23,27,1682549172,40589,00:40.589,5633,27338,7618,00:05.633,00:27.338,00:07.618
giladheskia,67,1682773121,40590,00:40.590,5458,27324,7808,00:05.458,00:27.324,00:07.808
U.V,176,1682685347,40591,00:40.591,5441,27252,7898,00:05.441,00:27.252,00:07.898
ITZYuval,254,1682793751,40591,00:40.591,5563,27171,7857,00:05.563,00:27.171,00:07.857
assaf_itz,27,1682782847,40591,00:40.591,5415,27269,7907,00:05.415,00:27.269,00:07.907
Player,119,1682669416,40592,00:40.592,5537,27226,7829,00:05.537,00:27.226,00:07.829
Player,165,1682673274,40592,00:40.592,5519,27068,8005,00:05.519,00:27.068,00:08.005
yarimalk23,156,1682721419,40592,00:40.592,5434,27468,7690,00:05.434,00:27.468,00:07.690
Player,154,1682672978,40593,00:40.593,5524,27279,7790,00:05.524,00:27.279,00:07.790
